"","slug_game","medal_type","name","gender","discipline","event","country_code","country_long"
"1","beijing-2022","gold","Italy","Mixed","Curling","Mixed Doubles","ITA","Italy"
"2","beijing-2022","silver","Norway","Mixed","Curling","Mixed Doubles","NOR","Norway"
"3","beijing-2022","bronze","Sweden","Mixed","Curling","Mixed Doubles","SWE","Sweden"
"4","beijing-2022","gold","Great Britain","Women","Curling","Women","GBR","Great Britain"
"5","beijing-2022","silver","Japan","Women","Curling","Women","JPN","Japan"
"6","beijing-2022","bronze","Sweden","Women","Curling","Women","SWE","Sweden"
"7","beijing-2022","gold","Sweden","Men","Curling","Men","SWE","Sweden"
"8","beijing-2022","silver","Great Britain","Men","Curling","Men","GBR","Great Britain"
"9","beijing-2022","bronze","Canada","Men","Curling","Men","CAN","Canada"
"10","beijing-2022","silver","Mikael KINGSBURY","Men","Freestyle Skiing","Men's Moguls","CAN","Canada"
"11","beijing-2022","gold","Walter WALLBERG","Men","Freestyle Skiing","Men's Moguls","SWE","Sweden"
"12","beijing-2022","bronze","Ikuma HORISHIMA","Men","Freestyle Skiing","Men's Moguls","JPN","Japan"
"13","beijing-2022","gold","Nico PORTEOUS","Men","Freestyle Skiing","Men's Freeski Halfpipe","NZL","New Zealand"
"14","beijing-2022","silver","David WISE","Men","Freestyle Skiing","Men's Freeski Halfpipe","USA","United States of America"
"15","beijing-2022","bronze","Alex FERREIRA","Men","Freestyle Skiing","Men's Freeski Halfpipe","USA","United States of America"
"16","beijing-2022","bronze","Henrik HARLAUT","Men","Freestyle Skiing","Men's Freeski Big Air","SWE","Sweden"
"17","beijing-2022","gold","Birk RUUD","Men","Freestyle Skiing","Men's Freeski Big Air","NOR","Norway"
"18","beijing-2022","silver","Colby STEVENSON","Men","Freestyle Skiing","Men's Freeski Big Air","USA","United States of America"
"19","beijing-2022","bronze","Sergey RIDZIK","Men","Freestyle Skiing","Men's Ski Cross","ROC","ROC"
"20","beijing-2022","silver","Alex FIVA","Men","Freestyle Skiing","Men's Ski Cross","SUI","Switzerland"
"21","beijing-2022","gold","Ryan REGEZ","Men","Freestyle Skiing","Men's Ski Cross","SUI","Switzerland"
"22","beijing-2022","bronze","Mathilde GREMAUD","Women","Freestyle Skiing","Women's Freeski Big Air","SUI","Switzerland"
"23","beijing-2022","gold","Ailing Eileen GU","Women","Freestyle Skiing","Women's Freeski Big Air","CHN","People's Republic of China"
"24","beijing-2022","silver","Tess LEDEUX","Women","Freestyle Skiing","Women's Freeski Big Air","FRA","France"
"25","beijing-2022","silver","Jaelin KAUF","Women","Freestyle Skiing","Women's Moguls","USA","United States of America"
"26","beijing-2022","gold","Jakara ANTHONY","Women","Freestyle Skiing","Women's Moguls","AUS","Australia"
"27","beijing-2022","bronze","Anastasiia SMIRNOVA","Women","Freestyle Skiing","Women's Moguls","ROC","ROC"
"28","beijing-2022","gold","United States of America","Mixed","Freestyle Skiing","Mixed Team Aerials","USA","United States of America"
"29","beijing-2022","silver","People's Republic of China","Mixed","Freestyle Skiing","Mixed Team Aerials","CHN","People's Republic of China"
"30","beijing-2022","bronze","Canada","Mixed","Freestyle Skiing","Mixed Team Aerials","CAN","Canada"
"31","beijing-2022","silver","Marielle THOMPSON","Women","Freestyle Skiing","Women's Ski Cross","CAN","Canada"
"32","beijing-2022","gold","Sandra NAESLUND","Women","Freestyle Skiing","Women's Ski Cross","SWE","Sweden"
