Index,Variant,region,Location code,ISO3,Type,Year,total_pop_january,total_pop_july,male_pop_july,female_pop_july,pop_density_july,sex_ratio_july,age_median_july,life_expectancy_birth,male_life_expectancy_birth,female_life_expectancy_birth,infant_mortality_rate_per_thou,under_5_deaths
1,Estimates,World,900,,World,1950, 2 471 424, 2 493 093, 1 241 432, 1 251 661,19.1,99.2,22.2,46.4,44.5,48.4,138.1,  19 962
2,Estimates,World,900,,World,1951, 2 514 762, 2 536 927, 1 263 362, 1 273 565,19.5,99.2,22.1,47.1,45.3,49,136,  19 949
3,Estimates,World,900,,World,1952, 2 559 092, 2 584 086, 1 287 093, 1 296 993,19.8,99.2,22.1,48.2,46.5,50,132.7,  19 955
4,Estimates,World,900,,World,1953, 2 609 080, 2 634 106, 1 312 355, 1 321 751,20.2,99.3,22,48.8,47.2,50.5,130.1,  19 847
5,Estimates,World,900,,World,1954, 2 659 132, 2 685 895, 1 338 531, 1 347 364,20.6,99.3,21.9,49.7,48,51.3,127.7,  19 813
6,Estimates,World,900,,World,1955, 2 712 658, 2 740 214, 1 365 979, 1 374 235,21,99.4,21.8,50.2,48.5,51.9,124.8,  19 663
7,Estimates,World,900,,World,1956, 2 767 770, 2 795 410, 1 393 816, 1 401 594,21.4,99.4,21.7,50.7,49,52.5,121.9,  19 318
8,Estimates,World,900,,World,1957, 2 823 050, 2 852 618, 1 422 614, 1 430 005,21.9,99.5,21.6,51.1,49.3,52.8,120,  19 434
9,Estimates,World,900,,World,1958, 2 882 187, 2 911 250, 1 452 096, 1 459 154,22.3,99.5,21.5,51.6,49.9,53.4,117.7,  19 125
10,Estimates,World,900,,World,1959, 2 940 313, 2 965 950, 1 479 589, 1 486 362,22.7,99.5,21.5,49.6,47.8,51.4,125.7,  20 974
11,Estimates,World,900,,World,1960, 2 991 588, 3 015 471, 1 504 457, 1 511 014,23.1,99.6,21.5,47.8,46.1,49.6,131.8,  22 432
12,Estimates,World,900,,World,1961, 3 039 354, 3 064 870, 1 529 295, 1 535 575,23.5,99.6,21.4,50.3,48.6,52.2,121.5,  19 704
13,Estimates,World,900,,World,1962, 3 090 386, 3 123 374, 1 558 850, 1 564 524,24,99.6,21.4,53.2,51.4,55.1,110.2,  17 939
14,Estimates,World,900,,World,1963, 3 156 363, 3 192 808, 1 594 017, 1 598 791,24.5,99.7,21.2,53.7,51.9,55.6,107.7,  18 611
15,Estimates,World,900,,World,1964, 3 229 253, 3 264 487, 1 630 340, 1 634 147,25,99.8,21,54.3,52.4,56.2,106.1,  18 577
16,Estimates,World,900,,World,1965, 3 299 722, 3 334 534, 1 665 745, 1 668 789,25.6,99.8,20.8,54,52,56.1,106.4,  18 912
17,Estimates,World,900,,World,1966, 3 369 345, 3 404 041, 1 700 737, 1 703 304,26.1,99.8,20.6,54.6,52.6,56.6,104.9,  18 635
18,Estimates,World,900,,World,1967, 3 438 737, 3 473 413, 1 735 618, 1 737 795,26.6,99.9,20.5,55.1,53.1,57.1,103.1,  18 318
19,Estimates,World,900,,World,1968, 3 508 089, 3 545 187, 1 771 695, 1 773 492,27.2,99.9,20.4,55.6,53.6,57.7,100.2,  18 030
20,Estimates,World,900,,World,1969, 3 582 286, 3 619 492, 1 809 131, 1 810 361,27.8,99.9,20.3,56,54,58.1,98.3,  17 878
21,Estimates,World,900,,World,1970, 3 656 698, 3 694 684, 1 847 019, 1 847 665,28.3,100,20.3,56.3,54.3,58.3,96.9,  17 854
22,Estimates,World,900,,World,1971, 3 732 670, 3 769 848, 1 884 860, 1 884 988,28.9,100,20.3,56,53.7,58.4,96.1,  17 892
23,Estimates,World,900,,World,1972, 3 807 026, 3 844 918, 1 922 850, 1 922 068,29.5,100,20.4,57.2,55.1,59.3,93.6,  17 202
24,Estimates,World,900,,World,1973, 3 882 810, 3 920 805, 1 961 395, 1 959 410,30.1,100.1,20.4,57.7,55.6,59.8,92.1,  16 881
